Message,Count
Empty statement.,1
Multiple Variable Declarations,1
interfaces should describe a type and hence have methods.,1
Hides a field,2
Inner Assignment,3
Unused import,5
Newline At End OfFile,6
Type Name,10
Left Curly + Right Curly,13
Avoid Star Import,14
Line Length,23
Visibility Modifier,28
Whitespace Around,38
Final Parameters,46
Whitespace Around + Whitespace After,47
Magic Number,108
